Origin,flights,avg_dep_delay,pct_dep_delayed15,pct_cancelled
ATL,341910,11.1,19.75,1.0
DFW,313582,18.93,27.53,1.86
DEN,308645,13.26,23.19,1.13
ORD,280052,15.24,22.18,1.35
CLT,217555,18.43,26.46,1.37
LAX,194053,10.27,18.04,0.81
PHX,193551,10.95,20.08,0.61
LAS,189252,12.89,23.56,0.88
SEA,163724,9.54,20.56,1.11
LGA,162432,10.68,18.01,2.37
MCO,159553,15.96,24.57,1.82
BOS,143490,12.01,20.15,1.45
DCA,140016,12.15,19.6,1.59
SFO,134978,14.5,23.36,1.33
DTW,131367,11.23,18.38,1.03
EWR,128979,14.05,21.69,2.52
MSP,126779,10.09,17.54,0.89
JFK,123348,12.82,20.23,1.86
IAH,115940,17.81,24.4,2.03
SLC,113247,9.23,16.66,0.62
