dep_hour,flights,avg_dep_delay,avg_arr_delay,pct_delayed15
0,12332,15.52,5.56,20.02
1,4077,14.65,7.99,21.27
2,1543,11.31,3.71,20.78
3,1093,9.84,2.87,19.46
4,534,16.55,10.11,20.15
5,200157,5.18,-2.24,9.06
6,495017,4.01,-2.18,9.58
7,493915,4.92,-0.42,12.29
8,482402,5.81,0.09,13.86
9,395739,7.21,1.56,15.3
10,439299,8.69,2.5,16.5
11,442008,9.91,3.93,17.74
12,419882,11.46,5.59,19.15
13,423120,12.92,7.53,21.28
14,406552,14.58,9.64,23.36
15,407710,15.89,10.93,24.95
16,409197,17.32,12.88,26.96
17,443706,18.02,13.71,27.83
18,435133,19.83,14.95,29.39
19,387893,20.77,15.37,29.98
20,317595,21.35,15.47,30.44
21,235114,20.41,13.98,28.37
22,166351,19.85,13.05,27.16
23,58692,15.43,6.38,21.3
